F,VENUE,TEAMS,DATE,Win,Road PTS,Home PTS,1Q,2Q,3Q,4Q,OT1,OT2,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,AST,PF,STL,TO,BLK,PTS,POSS,PACE,OEFF,DEFF,TEAM REST DAYS,DATASET
76,Home,Atlanta,5/24/2019,1,72,76,20,14,13,29,,,200,27,63,4,14,18,29,8,23,31,16,13,6,15,11,76,82.76,82.76,91.831802803,91.093117409,3+,WNBA 2019 Regular Season
72,Road,Dallas,5/24/2019,0,72,76,19,20,16,17,,,200,26,74,8,24,12,16,17,25,42,18,31,12,15,6,72,79.04,79.04,91.093117409,91.831802803,3+,WNBA 2019 Regular Season
80,Home,New York,5/24/2019,0,81,80,19,14,27,20,,,200,28,70,5,14,19,23,13,27,40,14,25,4,16,4,80,83.12,83.12,96.24639076,102.118003026,3+,WNBA 2019 Regular Season
81,Road,Indiana,5/24/2019,1,81,80,16,23,17,25,,,200,29,69,3,12,20,28,11,27,38,15,22,8,9,4,81,79.32,79.32,102.118003026,96.24639076,3+,WNBA 2019 Regular Season
84,Home,Connecticut,5/25/2019,1,69,84,22,22,23,17,,,200,33,76,6,20,12,14,11,29,40,18,19,7,9,5,84,80.16,80.16,104.790419162,87.786259542,3+,WNBA 2019 Regular Season
69,Road,Washington,5/25/2019,0,69,84,18,23,12,16,,,200,27,72,3,21,12,15,11,26,37,17,17,4,11,7,69,78.6,78.6,87.786259542,104.790419162,3+,WNBA 2019 Regular Season
89,Home,Minnesota,5/25/2019,1,71,89,22,24,24,19,,,200,30,68,6,20,23,32,17,29,46,17,21,11,20,5,89,85.08,85.08,104.607428303,82.943925234,3+,WNBA 2019 Regular Season
71,Road,Chicago,5/25/2019,0,71,89,24,16,10,21,,,200,28,70,3,13,12,15,6,23,29,19,22,11,15,3,71,85.6,85.6,82.943925234,104.607428303,3+,WNBA 2019 Regular Season
77,Home,Seattle,5/25/2019,1,68,77,16,16,24,21,,,200,28,67,6,19,15,23,13,23,36,15,18,10,16,4,77,80.12,80.12,96.105841238,90.042372881,3+,WNBA 2019 Regular Season
68,Road,Phoenix,5/25/2019,0,68,77,23,9,16,20,,,200,27,61,6,17,8,8,6,23,29,15,20,9,17,3,68,75.52,75.52,90.042372881,96.105841238,3+,WNBA 2019 Regular Season
83,Home,Las Vegas,5/26/2019,1,70,83,27,18,20,18,,,200,31,74,4,14,17,22,11,34,45,16,19,10,16,6,83,88.68,88.68,93.594948128,80.719557196,3+,WNBA 2019 Regular Season
70,Road,Los Angeles,5/26/2019,0,70,83,23,8,18,21,,,200,28,77,5,13,9,13,10,30,40,17,22,9,14,8,70,86.72,86.72,80.719557196,93.594948128,3+,WNBA 2019 Regular Season
88,Home,Connecticut,5/28/2019,1,77,88,21,19,22,26,,,200,32,70,10,22,14,22,12,25,37,18,11,4,12,4,88,79.68,79.68,110.441767068,97.075138679,2,WNBA 2019 Regular Season
77,Road,Indiana,5/28/2019,0,77,88,23,14,15,25,,,200,35,72,5,16,2,3,5,21,26,21,24,5,11,2,77,79.32,79.32,97.075138679,110.441767068,3+,WNBA 2019 Regular Season
72,Home,Minnesota,5/29/2019,1,61,72,22,17,22,11,,,200,27,61,6,17,12,15,11,29,40,22,19,6,19,3,72,75.6,75.6,95.238095238,79.056505962,3+,WNBA 2019 Regular Season
61,Road,Seattle,5/29/2019,0,61,72,9,15,20,17,,,200,24,66,2,15,11,14,8,14,22,13,24,12,13,3,61,77.16,77.16,79.056505962,95.238095238,3+,WNBA 2019 Regular Season
66,Home,Atlanta,5/31/2019,0,82,66,10,17,20,19,,,200,24,73,6,23,12,14,9,31,40,15,18,4,14,8,66,84.16,84.16,78.422053232,100.935499754,3+,WNBA 2019 Regular Season
82,Road,Seattle,5/31/2019,1,82,66,18,27,16,21,,,200,30,69,4,14,18,21,7,34,41,23,17,6,10,5,82,81.24,81.24,100.935499754,78.422053232,1,WNBA 2019 Regular Season
77,Home,Los Angeles,5/31/2019,1,70,77,21,17,16,23,,,200,28,72,6,20,15,17,9,30,39,15,22,6,10,4,77,80.48,80.48,95.675944334,82.352941176,3+,WNBA 2019 Regular Season
70,Road,Connecticut,5/31/2019,0,70,77,19,12,14,25,,,200,24,78,6,23,16,25,18,33,51,13,21,4,14,5,70,85,85,82.352941176,95.675944334,2,WNBA 2019 Regular Season
86,Home,Phoenix,5/31/2019,1,84,86,24,18,20,24,,,200,32,63,10,23,12,16,4,31,35,21,19,8,12,7,86,78.04,78.04,110.199897488,101.449275362,3+,WNBA 2019 Regular Season
84,Road,Las Vegas,5/31/2019,0,84,86,22,21,22,19,,,200,30,76,8,16,16,20,13,25,38,19,20,8,11,3,84,82.8,82.8,101.449275362,110.199897488,3+,WNBA 2019 Regular Season
83,Home,Chicago,6/1/2019,1,79,83,28,20,19,16,,,200,36,70,7,22,4,5,5,32,37,27,12,8,19,3,83,86.2,86.2,96.287703016,92.160522632,3+,WNBA 2019 Regular Season
79,Road,Seattle,6/1/2019,0,79,83,25,21,18,15,,,200,31,79,6,28,11,13,12,23,35,18,8,14,13,3,79,85.72,85.72,92.160522632,96.287703016,3IN4-B2B,WNBA 2019 Regular Season
67,Home,Dallas,6/1/2019,0,70,67,14,13,18,22,,,200,27,72,5,21,8,13,13,21,34,14,18,7,12,7,67,76.72,76.72,87.330552659,89.194699286,3+,WNBA 2019 Regular Season
70,Road,Minnesota,6/1/2019,1,70,67,16,25,10,19,,,200,26,65,5,19,13,17,10,28,38,18,17,8,16,4,70,78.48,78.48,89.194699286,87.330552659,2,WNBA 2019 Regular Season
92,Home,Indiana,6/1/2019,1,77,92,26,19,28,19,,,200,34,65,7,16,17,22,7,24,31,19,19,9,15,6,92,82.68,82.68,111.272375423,90.588235294,3+,WNBA 2019 Regular Season
77,Road,New York,6/1/2019,0,77,92,7,22,21,27,,,200,26,75,7,24,18,25,17,22,39,19,22,11,16,2,77,85,85,90.588235294,111.272375423,3+,WNBA 2019 Regular Season
