"","Date","Visitor/Neutral","PTS","Home/Neutral","PTS",""
"1",2019-05-24,"Dallas Wings","72","Atlanta Dream","76","Box Score"
"2",2019-05-24,"Indiana Fever","81","New York Liberty","80","Box Score"
"3",2019-05-25,"Washington Mystics","69","Connecticut Sun","84","Box Score"
"4",2019-05-25,"Chicago Sky","71","Minnesota Lynx","89","Box Score"
"5",2019-05-25,"Phoenix Mercury","68","Seattle Storm","77","Box Score"
"6",2019-05-26,"Los Angeles Sparks","70","Las Vegas Aces","83","Box Score"
"7",2019-05-28,"Indiana Fever","77","Connecticut Sun","88","Box Score"
"8",2019-05-29,"Seattle Storm","61","Minnesota Lynx","72","Box Score"
"9",2019-05-31,"Seattle Storm","82","Atlanta Dream","66","Box Score"
"10",2019-05-31,"Connecticut Sun","70","Los Angeles Sparks","77","Box Score"
"11",2019-05-31,"Las Vegas Aces","84","Phoenix Mercury","86","Box Score"
"12",2019-06-01,"Seattle Storm","79","Chicago Sky","83","Box Score"
"13",2019-06-01,"Minnesota Lynx","70","Dallas Wings","67","Box Score"
"14",2019-06-01,"New York Liberty","77","Indiana Fever","92","Box Score"
"15",2019-06-01,"Atlanta Dream","75","Washington Mystics","96","Box Score"
"16",2019-06-02,"Connecticut Sun","80","Las Vegas Aces","74","Box Score"
"17",2019-06-04,"Los Angeles Sparks","78","New York Liberty","73","Box Score"
"18",2019-06-04,"Minnesota Lynx","77","Seattle Storm","84","Box Score"
"19",2019-06-05,"Chicago Sky","85","Washington Mystics","103","Box Score"
"20",2019-06-06,"Las Vegas Aces","92","Atlanta Dream","69","Box Score"
"21",2019-06-06,"Los Angeles Sparks","77","Connecticut Sun","89","Box Score"
"22",2019-06-06,"Phoenix Mercury","56","Minnesota Lynx","58","Box Score"
"23",2019-06-07,"Dallas Wings","64","Indiana Fever","79","Box Score"
"24",2019-06-07,"Washington Mystics","94","New York Liberty","85","Box Score"
"25",2019-06-08,"Los Angeles Sparks","89","Minnesota Lynx","85","Box Score"
"26",2019-06-09,"Connecticut Sun","65","Atlanta Dream","59","Box Score"
"27",2019-06-09,"Seattle Storm","71","Chicago Sky","78","Box Score"
"28",2019-06-09,"Phoenix Mercury","94","Indiana Fever","87","Box Score"
"29",2019-06-09,"Las Vegas Aces","78","New York Liberty","88","Box Score"
"30",2019-06-09,"Dallas Wings","62","Washington Mystics","86","Box Score"
"31",2019-06-11,"Phoenix Mercury","75","Chicago Sky","82","Box Score"
"32",2019-06-11,"Washington Mystics","75","Connecticut Sun","83","Box Score"
"33",2019-06-11,"Seattle Storm","84","Indiana Fever","82","Box Score"
"34",2019-06-12,"Minnesota Lynx","69","New York Liberty","75","Box Score"
"35",2019-06-13,"Indiana Fever","76","Dallas Wings","72","Box Score"
"36",2019-06-14,"New York Liberty","65","Las Vegas Aces","100","Box Score"
"37",2019-06-14,"Connecticut Sun","85","Minnesota Lynx","81","Box Score"
"38",2019-06-14,"Los Angeles Sparks","85","Phoenix Mercury","68","Box Score"
"39",2019-06-14,"Seattle Storm","74","Washington Mystics","71","Box Score"
"40",2019-06-15,"Atlanta Dream","61","Dallas Wings","71","Box Score"
"41",2019-06-15,"Chicago Sky","70","Indiana Fever","64","Box Score"
"42",2019-06-15,"New York Liberty","98","Los Angeles Sparks","92","Box Score"
"43",2019-06-16,"Seattle Storm","67","Connecticut Sun","81","Box Score"
"44",2019-06-16,"Las Vegas Aces","80","Minnesota Lynx","75","Box Score"
"45",2019-06-18,"Washington Mystics","81","Los Angeles Sparks","52","Box Score"
"46",2019-06-19,"Indiana Fever","78","Atlanta Dream","88","Box Score"
"47",2019-06-19,"Chicago Sky","91","New York Liberty","83","Box Score"
"48",2019-06-20,"Phoenix Mercury","54","Dallas Wings","69","Box Score"
"49",2019-06-20,"Washington Mystics","95","Las Vegas Aces","72","Box Score"
"50",2019-06-21,"Indiana Fever","76","Chicago Sky","69","Box Score"
"51",2019-06-21,"Atlanta Dream","76","Connecticut Sun","86","Box Score"
"52",2019-06-21,"Los Angeles Sparks","62","Seattle Storm","84","Box Score"
"53",2019-06-22,"Dallas Wings","68","Las Vegas Aces","86","Box Score"
"54",2019-06-22,"New York Liberty","83","Minnesota Lynx","92","Box Score"
"55",2019-06-23,"Washington Mystics","89","Atlanta Dream","73","Box Score"
"56",2019-06-23,"Connecticut Sun","75","Chicago Sky","93","Box Score"
"57",2019-06-23,"Los Angeles Sparks","72","Phoenix Mercury","82","Box Score"
"58",2019-06-23,"Indiana Fever","61","Seattle Storm","65","Box Score"
"59",2019-06-25,"Minnesota Lynx","78","Indiana Fever","74","Box Score"
"60",2019-06-25,"Seattle Storm","56","Las Vegas Aces","60","Box Score"
"61",2019-06-26,"Washington Mystics","81","Chicago Sky","74","Box Score"
"62",2019-06-26,"Connecticut Sun","73","Dallas Wings","74","Box Score"
"63",2019-06-27,"Las Vegas Aces","74","Los Angeles Sparks","86","Box Score"
"64",2019-06-28,"Dallas Wings","68","New York Liberty","69","Box Score"
"65",2019-06-28,"Indiana Fever","69","Phoenix Mercury","91","Box Score"
"66",2019-06-28,"Chicago Sky","76","Seattle Storm","79","Box Score"
"67",2019-06-29,"Indiana Fever","97","Las Vegas Aces","102","Box Score"
"68",2019-06-29,"Connecticut Sun","59","Washington Mystics","102","Box Score"
"69",2019-06-30,"New York Liberty","74","Atlanta Dream","58","Box Score"
"70",2019-06-30,"Minnesota Lynx","86","Dallas Wings","89","Box Score"
"71",2019-06-30,"Chicago Sky","69","Los Angeles Sparks","94","Box Score"
"72",2019-06-30,"Phoenix Mercury","69","Seattle Storm","67","Box Score"
"73",2019-07-02,"Chicago Sky","82","Las Vegas Aces","90","Box Score"
"74",2019-07-02,"Atlanta Dream","68","Minnesota Lynx","85","Box Score"
"75",2019-07-03,"New York Liberty","84","Seattle Storm","83","Box Score"
"76",2019-07-05,"Indiana Fever","76","Dallas Wings","56","Box Score"
"77",2019-07-05,"New York Liberty","80","Phoenix Mercury","76","Box Score"
"78",2019-07-05,"Atlanta Dream","77","Seattle Storm","66","Box Score"
"79",2019-07-06,"Minnesota Lynx","74","Connecticut Sun","71","Box Score"
"80",2019-07-07,"Dallas Wings","66","Chicago Sky","78","Box Score"
"81",2019-07-07,"Washington Mystics","81","Los Angeles Sparks","98","Box Score"
"82",2019-07-07,"Las Vegas Aces","90","New York Liberty","58","Box Score"
"83",2019-07-07,"Atlanta Dream","63","Phoenix Mercury","65","Box Score"
"84",2019-07-09,"Los Angeles Sparks","62","Dallas Wings","74","Box Score"
"85",2019-07-10,"Connecticut Sun","75","Atlanta Dream","78","Box Score"
"86",2019-07-10,"Minnesota Lynx","73","Chicago Sky","72","Box Score"
"87",2019-07-10,"Las Vegas Aces","74","Indiana Fever","71","Box Score"
"88",2019-07-10,"Phoenix Mercury","91","Washington Mystics","68","Box Score"
"89",2019-07-12,"Minnesota Lynx","53","Atlanta Dream","60","Box Score"
"90",2019-07-12,"New York Liberty","83","Chicago Sky","99","Box Score"
"91",2019-07-12,"Phoenix Mercury","64","Connecticut Sun","79","Box Score"
