Rk,Player,Age,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
1,Brianna Turner,25,35,1168,11.3,0.603,0.607,0,0.268,7,17.2,12,10.6,1.9,4.2,28.5,6.9,111,105,,1.1,1.3,2.4,0.082
2,Skylar Diggins-Smith,31,30,1019,21.1,0.532,0.47,0.278,0.33,3.2,10.8,7,32.4,2.4,2.5,12.6,28.6,106,107,,2.3,0.8,3.1,0.121
3,Shey Peddy,33,34,974,16,0.549,0.504,0.521,0.225,5.4,10.1,7.8,20.5,2.8,0.6,13.5,16.8,111,107,,2,0.7,2.7,0.111
4,Diana Taurasi,40,31,962,15.8,0.559,0.488,0.679,0.353,1,12.1,6.5,22.5,1.1,1.6,15.3,26.2,103,109,,1.4,0.4,1.8,0.073
5,Sophie Cunningham,25,28,827,15.3,0.611,0.581,0.655,0.18,2.7,14.9,8.8,9.7,1.7,1.1,9.1,17.6,114,107,,1.9,0.6,2.5,0.12
6,Diamond DeShields,27,30,760,11.9,0.472,0.417,0.243,0.314,2.8,15.1,8.9,17,2.1,1.7,14.4,29.4,89,106,,-1.1,0.7,-0.4,-0.022
7,Tina Charles,33,16,530,15.8,0.53,0.492,0.28,0.233,3.3,22.6,12.9,12.6,1.3,2,13,25.9,97,106,,0.1,0.5,0.6,0.048
8,Megan Gustafson,25,33,318,12.2,0.635,0.615,0.286,0.187,6.3,17.5,11.9,9.7,1,1.4,19.6,17.7,105,108,,0.4,0.2,0.6,0.076
9,Jennie Simms,28,23,303,8.5,0.554,0.508,0.302,0.302,5.1,14.9,10,10.9,2,0.3,25.2,14.4,94,107,,-0.1,0.2,0.2,0.021
10,Reshanda Gray,29,16,152,0.7,0.418,0.419,0.297,0.081,3.9,18.7,11.3,10.8,1.7,2.9,32,17,66,105,,-0.6,0.2,-0.4,-0.111
11,Sam Thomas,23,24,118,1.1,0.257,0.237,0.789,0.053,2,3,2.5,7.6,2.6,1.5,17.1,9.1,62,109,,-0.3,0.1,-0.2,-0.077
12,Kristine Anigwe,25,10,65,5.1,0.521,0.5,0,1,9.1,14.6,11.8,4.9,0.8,2.7,29.4,14.4,86,109,,-0.1,0,0,-0.021
13,Yvonne Turner,34,3,35,12.7,0.46,0.4,0,0.2,0,6.8,3.4,33.8,0,0,0,14.3,119,115,,0.1,0,0.1,0.091
14,Kaela Davis,27,5,27,29.7,0.779,0.769,0.231,0.308,8.7,17.6,13.1,0,0,0,16.9,30.2,117,111,,0.1,0,0.1,0.171
15,Karlie Samuelson,27,1,10,6,0.5,0.5,1,0,0,35.6,17.7,16.5,0,0,25,18.4,81,105,,0,0,0,-0.038
16,Emma Cannon,33,1,6,30.2,0.798,1,0,2,0,39.6,19.7,30.9,0,0,0,14.4,169,104,,0,0,0.1,0.36
